sateid,date,x,y,z,pro,clk
C12,2020-06-20-00-20-00,-889955.422,26706992.458,-8063831.483,24378132.8286,0.000406142
C16,2020-06-20-00-20-00,-9036135.797,38524184.236,-14209196.94,38563398.3136,-0.000614073
C24,2020-06-20-00-20-00,9751717.852,13641073.926,22302723.342,24391902.8757,-0.000787237
C26,2020-06-20-00-20-00,-9706007.393,17598863.155,19369253.388,21567367.2978,0.000724518
C29,2020-06-20-00-20-00,-15292539.952,-4407746.334,22912787.178,25337969.2346,0.000244808
G01,2020-06-20-00-20-00,-10806070.016,19707717.339,-14105782.31,24266637.3205,1.26227E-05
G04,2020-06-20-00-20-00,-733009.451,26180212.933,-4298777.308,22555185.1256,-0.000104623
G07,2020-06-20-00-20-00,7290584.279,13816345.331,21760066.189,22741583.3207,-0.000308426
G08,2020-06-20-00-20-00,-7488182.265,20581357.834,14852605.878,20138084.7668,-3.81453E-05
G09,2020-06-20-00-20-00,8101760.543,24381734.058,6653445.516,22321193.7427,-0.000239364
G11,2020-06-20-00-20-00,-11554716.702,24108845.739,-424910.428,21620215.2977,-0.000243952
G16,2020-06-20-00-20-00,-19037040.6,3636447.74,18142524.396,22532014.2977,-0.000172568
G21,2020-06-20-00-20-00,-16103431.984,-5818860.888,21012361.721,24992203.5635,1.3719E-05
G26,2020-06-20-00-20-00,-25174082.834,-3517633.914,8051347.166,24833676.5165,0.000228532
G27,2020-06-20-00-20-00,-12754649.011,10369635.014,20638590.915,21119274.3367,-0.000324983
C01,2020-06-20-00-25-00,-34352971.479,24479877.024,629523.217,37732832.1646,-0.000402403
C02,2020-06-20-00-25-00,4416126.056,41901217.018,-1415449.056,37703382.4066,0.000270948
C03,2020-06-20-00-25-00,-14701517.954,39490065.075,-685247.344,36605240.3367,0.000855627
C04,2020-06-20-00-25-00,-39583974.806,14509262.713,295016.322,38653644.8916,-0.000156132
C05,2020-06-20-00-25-00,21921913.221,35985354.756,-1098701.603,39695737.8915,-0.000487108
C06,2020-06-20-00-25-00,-10877194.185,36741597.913,-16697345.266,38215224.0316,0.000758497
C07,2020-06-20-00-25-00,-13000174.09,22999471.587,33037634.779,36429781.9537,3.2624E-05
C08,2020-06-20-00-25-00,-25554401.36,28969532.785,-17210011.515,39255234.0396,-0.00032223
C09,2020-06-20-00-25-00,-1023824.714,41910664.754,-909947.768,36971188.5477,0.000621536
C10,2020-06-20-00-25-00,4016765.502,28495843.828,31117539.134,37087678.2977,-0.000257855
C12,2020-06-20-00-25-00,-959142.813,26959607.95,-7169280.827,24203087.2426,0.000406145
C16,2020-06-20-00-25-00,-8689711.5,38343735.834,-14895640.444,38664538.1956,-0.00061407
C24,2020-06-20-00-25-00,9020561.135,13876087.771,22465249.538,24252497.1887,-0.000787234
C26,2020-06-20-00-25-00,-10334955.87,17785515.677,18867731.644,21533509.6808,0.000724522
C29,2020-06-20-00-25-00,-15139287.041,-5177618.342,22853551.63,25510355.8916,0.00024481
G01,2020-06-20-00-25-00,-11250650.122,19972517.461,-13343462.437,24055617.8676,1.26251E-05
G04,2020-06-20-00-25-00,-835254.565,26007226.984,-5227943.94,22715184.9536,-0.000104624
G07,2020-06-20-00-25-00,6634941.514,14287377.555,21649408.849,22571228.6027,-0.000308428
G08,2020-06-20-00-25-00,-7632112.978,20015239.086,15545028.592,20157776.3208,-3.81456E-05
G09,2020-06-20-00-25-00,8047852.002,24630706.199,5746095.601,22392685.2977,-0.000239366
G11,2020-06-20-00-25-00,-11656165.008,24039868.325,488715.451,21467359.7427,-0.000243949
G16,2020-06-20-00-25-00,-19630611.342,3287951.731,17587489.822,22644351.1566,-0.000172569
G26,2020-06-20-00-25-00,-25415578.208,-3700418.188,7172927.307,24964811.2975,0.000228534
G27,2020-06-20-00-25-00,-12886842.314,9577016.376,20944960.902,21253879.8917,-0.000324986
C01,2020-06-20-00-30-00,-34352280.535,24480513.791,621157.89,37733146.9456,-0.000402393
C02,2020-06-20-00-30-00,4415326.46,41901462.375,-1412071.35,37703068.2736,0.00027094
C03,2020-06-20-00-30-00,-14702218.874,39489473.969,-665939.824,36602884.2976,0.000855623
C04,2020-06-20-00-30-00,-39583629.848,14508977.647,306813.058,38652347.1886,-0.000156126
C05,2020-06-20-00-30-00,21921058.882,35985655.878,-1099528.35,39695547.2195,-0.000487128
C06,2020-06-20-00-30-00,-10566642.159,36526288.067,-17347387.938,38312036.7976,0.0007585
C07,2020-06-20-00-30-00,-13324465.374,22888391.51,32977274.164,36422604.8287,3.26147E-05
C08,2020-06-20-00-30-00,-25503424.694,29422614.064,-16510563.432,39146053.0786,-0.000322237
C09,2020-06-20-00-30-00,-646839.471,41890479.479,-1663251.456,37057057.9847,0.000621543
C10,2020-06-20-00-30-00,3765471.247,28258674.955,31358921.243,37078737.8057,-0.000257852
C12,2020-06-20-00-30-00,-1016782.728,27183425.464,-6262903.074,24032239.2426,0.000406149
C16,2020-06-20-00-30-00,-8351479.04,38148147.804,-15574892.916,38766355.3756,-0.000614068
C24,2020-06-20-00-30-00,8289456.675,14126827.136,22590686.357,24113993.4067,-0.00078723
C26,2020-06-20-00-30-00,-10943499.337,17978419.647,18335088.958,21504900.6028,0.000724526
C29,2020-06-20-00-30-00,-15001965.856,-5947772.443,22756563.339,25684970.0786,0.000244811
G01,2020-06-20-00-30-00,-11667616.084,20227329.546,-12555490.102,23844079.1886,1.26276E-05
G04,2020-06-20-00-30-00,-944584.947,25801406.591,-6147077.622,22879178.9386,-0.000104626
G07,2020-06-20-00-30-00,5990874.673,14766984.057,21498293.083,22404189.1027,-0.000308431
G08,2020-06-20-00-30-00,-7790196.195,19426580.802,16207374.511,20186479.2818,-3.81456E-05
G09,2020-06-20-00-30-00,7992523.134,24846593.111,4827719.717,22472823.7587,-0.000239368
G11,2020-06-20-00-30-00,-11744937.099,23941351.255,1401421.997,21321479.0477,-0.000243946
G16,2020-06-20-00-30-00,-20210790.471,2960416.456,16998787.665,22757633.3206,-0.00017257
G21,2020-06-20-00-30-00,-15005094.965,-6874357.596,21535866.38,25264874.8135,1.37222E-05
G26,2020-06-20-00-30-00,-25628816.688,-3868022.376,6280936.224,25096325.2585,0.000228536
G27,2020-06-20-00-30-00,-13034915.753,8776424.859,21210459.796,21394397.9537,-0.000324989
C01,2020-06-20-00-35-00,-34351589.02,24481139.142,612496.29,37733477.0786,-0.000402382
C02,2020-06-20-00-35-00,4414536.76,41901731.287,-1408017.348,37702695.8206,0.000270932
C03,2020-06-20-00-35-00,-14702935.187,39488884.189,-646312.747,36600511.4147,0.000855618
C04,2020-06-20-00-35-00,-39583292.159,14508675.573,318463.46,38651068.1646,-0.000156119
C05,2020-06-20-00-35-00,21920208.046,35985977.104,-1099828.452,39695317.3365,-0.000487148
C06,2020-06-20-00-35-00,-10265679.763,36297129.576,-17988905.462,38409321.3056,0.000758503
C07,2020-06-20-00-35-00,-13653363.044,22791705.82,32901278.838,36414473.3597,3.26054E-05
C08,2020-06-20-00-35-00,-25432788.359,29873162.716,-15803285.024,39037331.2426,-0.000322244
C09,2020-06-20-00-35-00,-271100.43,41853483.548,-2415745.426,37144961.2817,0.000621551
C10,2020-06-20-00-35-00,3504075.651,28032930.509,31585524.804,37068791.9617,-0.000257848
C12,2020-06-20-00-35-00,-1064084.167,27377708.691,-5346194.515,23865915.3366,0.000406152
C16,2020-06-20-00-35-00,-8022094.076,37937793.392,-16246626.288,38868733.0396,-0.000614066
C24,2020-06-20-00-35-00,7559943.048,14392962.974,22678828.103,23976652.3447,-0.000787227
C26,2020-06-20-00-35-00,-11530677.541,18176436.794,17772205.44,21481793.2588,0.000724531
C29,2020-06-20-00-35-00,-14880714.97,-6716604.817,22621982.834,25861423.0635,0.000244813
G01,2020-06-20-00-35-00,-12056809.22,20470522.847,-11743348.514,23632596.9456,1.263E-05
G04,2020-06-20-00-35-00,-1062266.04,25563384.899,-7054414.202,23046571.2896,-0.000104627
G07,2020-06-20-00-35-00,5359610.32,15253923.1,21306940.8,22240945.5317,-0.000308434
G08,2020-06-20-00-35-00,-7963163.252,18816896.284,16838379.413,20223887.4698,-3.81462E-05
G09,2020-06-20-00-35-00,7934403.829,25029184.128,3900081.682,22561168.5867,-0.00023937
G11,2020-06-20-00-35-00,-11822168.746,23812815.317,2311487.753,21183013.9777,-0.000243943
